,county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng,population,State,Literacy Rate,normalized_literacy
2657,Blaine,Blaine,Blaine County,30005,MT,Montana,48.4327,-108.9586,7051,Montana,86.9,0.0909090909090906
2658,Nemaha,Nemaha,Nemaha County,31127,NE,Nebraska,40.3877,-95.8498,7025,Nebraska,83.6,0.2784090909090913
2659,Bon Homme,Bon Homme,Bon Homme County,46009,SD,South Dakota,42.9885,-97.8846,7020,South Dakota,85.1,0.19318181818181857
2660,Chugach,Chugach,Chugach Census Area,2063,AK,Alaska,60.7228,-145.7754,7015,Alaska,87.3,0.06818181818181834
2661,Caribou,Caribou,Caribou County,16029,ID,Idaho,42.7705,-111.5623,7003,Idaho,83.6,0.2784090909090913
2662,Fall River,Fall River,Fall River County,46047,SD,South Dakota,43.2394,-103.5275,6979,South Dakota,85.1,0.19318181818181857
2663,Ida,Ida,Ida County,19093,IA,Iowa,42.3869,-95.5135,6979,Iowa,85.1,0.19318181818181857
2664,Bailey,Bailey,Bailey County,48017,TX,Texas,34.0686,-102.8299,6968,Texas,71.8,0.9488636363636368
2665,Beaver,Beaver,Beaver County,49001,UT,Utah,38.357,-113.2355,6962,Utah,85.5,0.17045454545454553
2666,La Salle,La Salle,La Salle County,48283,TX,Texas,28.3452,-99.0995,6956,Texas,71.8,0.9488636363636368
2667,Powell,Powell,Powell County,30077,MT,Montana,46.8564,-112.9361,6955,Montana,86.9,0.0909090909090906
2668,Schuyler,Schuyler,Schuyler County,17169,IL,Illinois,40.158,-90.6151,6953,Illinois,79.6,0.5056818181818187
2669,Pembina,Pembina,Pembina County,38067,ND,North Dakota,48.7675,-97.5518,6912,North Dakota,86.6,0.10795454545454586
2670,Monroe,Monroe,Monroe County,5095,AR,Arkansas,34.6778,-91.2039,6903,Arkansas,76.9,0.659090909090909
2671,Weston,Weston,Weston County,56045,WY,Wyoming,43.8404,-104.5677,6891,Wyoming,86.4,0.11931818181818155
2672,Wabaunsee,Wabaunsee,Wabaunsee County,20197,KS,Kansas,38.9533,-96.205,6881,Kansas,83.1,0.3068181818181822
