,county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng,population,State,Literacy Rate,normalized_literacy
2400,Howard,Howard,Howard County,29089,MO,Missouri,39.1425,-92.6963,10147,Missouri,81.1,0.42045454545454586
2401,Alcona,Alcona,Alcona County,26001,MI,Michigan,44.6854,-83.5937,10138,Michigan,82.4,0.34659090909090884
2402,Love,Love,Love County,40085,OK,Oklahoma,33.9499,-97.2441,10105,Oklahoma,79.9,0.4886363636363634
2403,Nome,Nome,Nome Census Area,2180,AK,Alaska,64.9111,-164.0272,10070,Alaska,87.3,0.06818181818181834
2404,Ochiltree,Ochiltree,Ochiltree County,48357,TX,Texas,36.2784,-100.8157,10063,Texas,71.8,0.9488636363636368
2405,Franklin,Franklin,Franklin County,19069,IA,Iowa,42.7325,-93.2625,10056,Iowa,85.1,0.19318181818181857
2406,Perry,Perry,Perry County,5105,AR,Arkansas,34.9475,-92.9312,10056,Arkansas,76.9,0.659090909090909
2407,Carroll,Carroll,Carroll County,28015,MS,Mississippi,33.4485,-89.9202,10053,Mississippi,72.0,0.9375000000000003
2408,Keokuk,Keokuk,Keokuk County,19107,IA,Iowa,41.3365,-92.1786,10050,Iowa,85.1,0.19318181818181857
2409,Lewis,Lewis,Lewis County,29111,MO,Missouri,40.0969,-91.7221,10031,Missouri,81.1,0.42045454545454586
2410,Jackson,Jackson,Jackson County,27063,MN,Minnesota,43.6742,-95.1541,10016,Minnesota,86.9,0.0909090909090906
2411,Pulaski,Pulaski,Pulaski County,13235,GA,Georgia,32.2323,-83.476,10001,Georgia,76.4,0.6874999999999999
2412,Duval,Duval,Duval County,48131,TX,Texas,27.6814,-98.5089,10001,Texas,71.8,0.9488636363636368
2413,Marshall,Marshall,Marshall County,20117,KS,Kansas,39.7836,-96.5229,9995,Kansas,83.1,0.3068181818181822
